Product Category,Product Name,Product Price,Sold Units,Order Date,Region,City,State,Country,Discount,Customer Rating,Ship Date,Revenue,Sales,Profit
Apparel,Sweater,197.61,15,09/05/2024,Asia,Dianastad,Washington,Palestinian Territory,32.41,1,09/05/2024,2964.15,2003.47,224.98
Apparel,Jacket,319.76,12,23/12/2024,North America,Leeborough,Kansas,Heard Island and McDonald Islands,16.14,1,25/12/2024,3837.12,3217.81,915.54
Home & Kitchen,Vacuum Cleaner,403.16,17,03/08/2024,Asia,New Marilyn,Virginia,Vanuatu,2.46,3,04/08/2024,6853.72,6685.12,2572.89
Electronics,Headphones,412.51,20,12/04/2024,North America,East Margaret,Florida,Portugal,20.03,4,15/04/2024,8250.2,6597.68,1647.56
Electronics,Laptop,238.48,11,28/12/2023,Australia,Mejiahaven,Hawaii,Venezuela,49.52,1,31/12/2023,2623.28,1324.23,-249.74
Books,Cookbook,302.12,12,22/12/2024,Australia,Jonesville,Utah,Montserrat,5.69,5,22/12/2024,3625.44,3419.15,1243.89
Electronics,Headphones,48.63,3,17/11/2024,Asia,North Billyside,Rhode Island,Algeria,31.39,5,18/11/2024,145.89,100.1,12.56
Home & Kitchen,Cookware Set,135.23,14,04/04/2024,South America,New Erinburgh,North Carolina,Georgia,19.68,1,06/04/2024,1893.22,1520.63,384.7
Home & Kitchen,Blender,188.56,17,25/09/2023,Australia,Blakemouth,Georgia,Dominican Republic,46.72,1,26/09/2023,3205.52,1707.9,-215.41
Beauty,Shampoo,306.47,15,06/04/2023,North America,Butlerport,Kentucky,Bulgaria,26.69,5,06/04/2023,4597.05,3370.1,611.87
Home & Kitchen,Vacuum Cleaner,363.62,9,07/01/2023,Australia,Lake Juanshire,Minnesota,Costa Rica,3.73,5,08/01/2023,3272.58,3150.51,1186.96
Electronics,Tablet,465.69,2,24/07/2023,Australia,Harriston,Utah,Seychelles,1.87,2,25/07/2023,931.38,913.96,355.14
Books,Self-Help Guide,203.32,20,21/08/2023,Asia,South Joshuaville,Hawaii,Czech Republic,31.94,3,21/08/2023,4066.4,2767.59,327.75
Beauty,Perfume,329.81,2,14/02/2023,Asia,Gregoryhaven,Kentucky,Comoros,43.92,4,14/02/2023,659.62,369.91,-25.86
Electronics,Smartwatch,146.8,8,19/05/2023,Australia,East Allisontown,Massachusetts,Montenegro,22.52,5,21/05/2023,1174.4,909.93,205.29
Books,Children's Book,481.95,18,10/05/2024,North America,South Edward,Vermont,Pitcairn Islands,22.32,2,10/05/2024,8675.1,6738.82,1533.76
Electronics,Smartwatch,33.44,1,23/04/2023,South America,Middletonland,Minnesota,Papua New Guinea,2.67,3,24/04/2023,33.44,32.55,12.48
Beauty,Lipstick,387.94,5,11/05/2024,South America,Sandersburgh,Oklahoma,Micronesia,44.12,4,13/05/2024,1939.7,1083.9,-79.92
Home & Kitchen,Microwave,91.76,4,07/04/2024,Europe,East Elizabeth,Montana,El Salvador,11.61,4,10/04/2024,367.04,324.43,104.2
Beauty,Lipstick,249.71,10,30/04/2024,Asia,Jessicaside,Illinois,Iraq,48.68,5,30/04/2024,2497.1,1281.51,-216.75
Home & Kitchen,Coffee Maker,10.3,13,23/08/2023,North America,Andrewburgh,Florida,Azerbaijan,40.21,5,24/08/2023,133.9,80.06,-0.28
Beauty,Shampoo,426.03,6,21/01/2023,Australia,Smithland,Minnesota,Lebanon,31.38,2,22/01/2023,2556.18,1754.05,220.34
Apparel,Shoes,465.73,19,06/11/2023,Asia,Austinberg,Connecticut,Chile,17.86,3,06/11/2023,8848.87,7268.46,1959.14
Electronics,Smartphone,261.49,13,08/02/2024,South America,New Lukehaven,Nebraska,Papua New Guinea,25.62,1,09/02/2024,3399.37,2528.45,488.83
Electronics,Tablet,101.4,3,19/04/2023,Europe,South Kimshire,Hawaii,Mongolia,13.17,1,20/04/2023,304.2,264.14,81.62
Apparel,Sweater,393.06,8,17/04/2023,South America,Tinamouth,Texas,Senegal,48.82,2,19/04/2023,3144.48,1609.34,-277.34
Home & Kitchen,Vacuum Cleaner,257.72,13,18/02/2024,Australia,Johnsonbury,Alabama,Bhutan,28.73,3,24/02/2024,3350.36,2387.8,377.59
Electronics,Headphones,350.73,15,16/08/2024,Europe,West Chad,Colorado,Denmark,14.67,1,16/08/2024,5260.95,4489.17,1332.6
Apparel,Jacket,309.52,3,08/05/2023,Australia,Emilyfurt,Iowa,Panama,45.75,3,08/05/2023,928.56,503.74,-53.39
Electronics,Tablet,338.64,12,09/11/2024,Europe,Williamsberg,New Hampshire,United States of America,49.48,1,13/11/2024,4063.68,2052.97,-385.24
Books,Children's Book,183.07,15,24/12/2024,Asia,East Rogertown,Maine,Rwanda,40.97,2,26/12/2024,2746.05,1620.99,-26.64
Home & Kitchen,Microwave,329.23,15,12/08/2023,South America,Cohenchester,North Carolina,Nicaragua,21.16,1,16/08/2023,4938.45,3893.47,930.4
Books,Biography,487.94,18,01/03/2024,North America,South Melissa,Missouri,Nauru,42.81,5,04/03/2024,8782.92,5022.95,-246.8
Home & Kitchen,Vacuum Cleaner,47.99,15,09/05/2023,Europe,New Nathaniel,Virginia,Cape Verde,47.69,1,09/05/2023,719.85,376.55,-55.36
Apparel,Shoes,141.59,4,08/05/2023,Europe,Port Christopher,West Virginia,Congo,40.72,1,10/05/2023,566.36,335.74,-4.08
Home & Kitchen,Vacuum Cleaner,202.72,3,13/10/2024,Asia,Teresaland,Connecticut,Guam,3.32,5,13/10/2024,608.16,587.97,223.07
Home & Kitchen,Blender,336.48,6,29/04/2023,South America,North Shawn,Wyoming,Vietnam,10.9,1,03/05/2023,2018.88,1798.82,587.49
Apparel,Jacket,205.7,4,17/08/2024,North America,Buckstad,California,Czech Republic,6.74,3,17/08/2024,822.8,767.34,273.66
Home & Kitchen,Cookware Set,104.15,13,15/06/2024,South America,Port Billymouth,Oregon,Angola,15.96,1,16/06/2024,1353.95,1137.86,325.49
Electronics,Smartwatch,12.61,14,16/02/2023,Asia,Maryport,Maryland,Falkland Islands (Malvinas),10.93,3,18/02/2023,176.54,157.24,51.32
Beauty,Nail Polish,353.29,7,03/08/2023,Australia,Stevenhaven,Tennessee,Sierra Leone,24.93,1,04/08/2023,2473.03,1856.5,372.69
Apparel,Jeans,459.99,13,16/12/2023,Australia,Samuelchester,Nevada,French Southern Territories,33.1,2,16/12/2023,5979.87,4000.53,412.61
Beauty,Nail Polish,277.05,11,25/02/2024,South America,Michaelshire,Iowa,Nepal,43.43,2,25/02/2024,3047.55,1724,-104.53
Apparel,Shoes,364.44,3,03/07/2023,Asia,New Jason,Nevada,Belgium,17.75,3,07/07/2023,1093.32,899.26,243.26
Apparel,Jacket,281.76,11,07/05/2023,Asia,Williamsshire,Delaware,Estonia,47.25,1,08/05/2023,3099.36,1634.91,-224.7
Books,Self-Help Guide,293.55,11,31/10/2023,South America,North Justinfort,Nevada,Argentina,18.3,4,04/11/2023,3229.05,2638.13,700.7
Books,Fiction Novel,177,20,18/02/2023,Europe,Lake Jacob,Arkansas,Guadeloupe,35.32,5,21/02/2023,3540,2289.67,165.67
Home & Kitchen,Cookware Set,408.68,16,01/03/2023,Europe,Williamschester,Michigan,Comoros,8.01,1,04/03/2023,6538.88,6015.12,2091.79
Beauty,Shampoo,117.02,7,02/10/2024,Australia,Rachelchester,South Dakota,Tunisia,45.5,3,06/10/2024,819.14,446.43,-45.05
Apparel,Sweater,481.71,16,26/07/2024,Europe,West Brianland,Alabama,Papua New Guinea,33.47,3,27/07/2024,7707.36,5127.71,503.29
Home & Kitchen,Vacuum Cleaner,230.11,4,24/01/2024,Europe,Crystalbury,Wyoming,Korea,33.13,4,25/01/2024,920.44,615.5,63.23
Electronics,Headphones,204.96,9,17/06/2023,Australia,West Elizabethfurt,North Carolina,Uruguay,11.68,1,17/06/2023,1844.64,1629.19,522.4
Apparel,Jeans,7.3,15,29/05/2024,South America,Lake Christopherville,Pennsylvania,Mauritius,25.45,5,29/05/2024,109.5,81.63,15.93
Electronics,Laptop,91.64,2,01/07/2023,North America,Riversfurt,Vermont,Uruguay,48.09,3,02/07/2023,183.28,95.14,-14.83
Home & Kitchen,Coffee Maker,255.59,18,13/09/2023,Europe,North Katiemouth,Minnesota,Malawi,38.7,4,14/09/2023,4600.62,2820.18,59.81
Books,Biography,281.52,5,08/04/2023,North America,Joycechester,Kentucky,Mauritania,10.42,1,08/04/2023,1407.6,1260.93,416.37
Home & Kitchen,Blender,254.07,16,11/03/2023,Europe,Jamesberg,Massachusetts,Serbia,1.89,5,14/03/2023,4065.12,3988.29,1549.22
Electronics,Laptop,173.28,5,22/01/2024,North America,Donnafort,Montana,Saint Lucia,28.25,3,23/01/2024,866.4,621.64,101.8
Apparel,Sweater,62.92,7,25/11/2024,North America,Williambury,Texas,Morocco,4.44,1,25/11/2024,440.44,420.88,156.62
Beauty,Nail Polish,259.08,11,23/12/2023,North America,East Sara,Washington,El Salvador,27.96,4,24/12/2023,2849.88,2053.05,343.13
Home & Kitchen,Blender,132.56,19,17/07/2023,North America,Allenmouth,Colorado,Albania,46.09,4,21/07/2023,2518.64,1357.8,-153.39
Apparel,Shoes,271.26,2,20/05/2024,South America,West Michaelfort,Arkansas,Vietnam,33.09,1,21/05/2024,542.52,363,37.49
Books,Children's Book,397.73,20,13/10/2024,Australia,Rodriguezville,Wisconsin,Chad,32.13,3,13/10/2024,7954.6,5398.79,626.03
Books,Cookbook,128.82,13,12/02/2024,South America,Port Williamtown,Tennessee,Mozambique,49.8,5,16/02/2024,1674.66,840.68,-164.12
Books,Biography,224.17,2,22/04/2024,North America,Edwardsland,Minnesota,Saudi Arabia,11.34,4,24/04/2024,448.34,397.5,128.49
Apparel,Shoes,191.65,12,14/04/2023,Europe,East Tina,South Dakota,Iceland,8.75,5,16/04/2023,2299.8,2098.57,718.69
Home & Kitchen,Vacuum Cleaner,244.4,14,22/11/2023,Asia,Crawfordshire,Washington,Ecuador,4.52,2,22/11/2023,3421.6,3266.94,1213.98
Apparel,Sweater,125.42,16,12/07/2023,South America,Angelamouth,North Dakota,American Samoa,42.73,1,13/07/2023,2006.72,1149.25,-54.78
Apparel,Sweater,173.13,7,10/04/2023,Australia,Brianfurt,Montana,Ghana,36.82,1,10/04/2023,1211.91,765.68,38.54
Beauty,Nail Polish,388.92,2,25/06/2024,South America,New Mandybury,Alabama,Togo,3.45,2,29/06/2024,777.84,751,284.3
Beauty,Face Cream,342.39,7,10/08/2024,North America,West Amandaburgh,Massachusetts,Ecuador,17.35,1,15/08/2024,2396.73,1980.9,542.86
Home & Kitchen,Blender,448.78,1,08/05/2024,North America,Victormouth,Hawaii,Denmark,36.94,3,08/05/2024,448.78,283,13.73
Beauty,Nail Polish,431.7,14,03/10/2023,Australia,South Billtown,West Virginia,Vanuatu,26.88,3,04/10/2023,6043.8,4419.23,792.95
Books,Self-Help Guide,243.58,9,07/12/2024,North America,Tarashire,Nevada,Yemen,29.15,4,09/12/2024,2192.22,1553.19,237.86
Beauty,Perfume,132.62,9,05/11/2023,Australia,North Jonathanchester,Oklahoma,Tanzania,39.85,3,09/11/2023,1193.58,717.94,1.79
Books,Children's Book,194.42,6,03/12/2024,Asia,East Steven,South Carolina,Isle of Man,1.2,3,03/12/2024,1166.52,1152.52,452.61
Home & Kitchen,Microwave,395.38,3,08/07/2023,North America,Hernandezstad,New Jersey,Dominican Republic,23.33,4,08/07/2023,1186.14,909.41,197.73
Apparel,Jeans,114.09,5,25/11/2023,Europe,Port Garrett,Iowa,Czech Republic,10.37,2,28/11/2023,570.45,511.29,169.02
Apparel,Jeans,352.08,3,11/07/2024,South America,Wrightburgh,Connecticut,Somalia,14.58,2,11/07/2024,1056.24,902.24,268.5
Beauty,Shampoo,401.08,9,09/01/2023,Europe,Port Justinbury,Oklahoma,Falkland Islands (Malvinas),19.22,4,10/01/2023,3609.72,2915.93,750.1
Books,Cookbook,209.15,13,09/10/2023,Asia,West Christopher,Indiana,Holy See (Vatican City State),23.55,3,09/10/2023,2718.95,2078.64,447.27
Electronics,Tablet,179.78,3,29/08/2024,North America,Jacksonmouth,South Dakota,Cyprus,12.73,4,31/08/2024,539.34,470.68,147.08
Electronics,Smartwatch,270.15,10,05/11/2024,South America,Shelbyfort,Connecticut,Azerbaijan,8.83,5,07/11/2024,2701.5,2462.96,842.06
Electronics,Laptop,351.91,15,14/08/2023,South America,Port Nancyshire,Michigan,Malawi,6.12,3,15/08/2023,5278.65,4955.6,1788.41
Apparel,Jeans,135.36,14,13/11/2023,South America,Josephhaven,California,Albania,37.15,1,13/11/2023,1895.04,1191.03,54.01
Apparel,T-Shirt,147.21,17,05/07/2024,Asia,Andreaport,New Mexico,Montserrat,28.62,4,06/07/2024,2502.57,1786.33,284.79
Books,Self-Help Guide,202.47,7,21/07/2024,Asia,North Vanessaland,Pennsylvania,Togo,27.24,3,24/07/2024,1417.29,1031.22,180.85
Beauty,Lipstick,375.65,9,25/05/2023,Europe,Reyesborough,Ohio,Saint Kitts and Nevis,32.52,1,25/05/2023,3380.85,2281.4,252.89
Electronics,Laptop,174.29,6,10/07/2024,South America,Jamesburgh,Minnesota,France,46.08,2,11/07/2024,1045.74,563.86,-63.58
Books,Self-Help Guide,279.5,2,12/09/2024,Asia,Jessicastad,Iowa,Philippines,24.35,2,14/09/2024,559,422.88,87.48
Books,Cookbook,93.35,3,07/05/2024,North America,Ellisstad,Rhode Island,Bahrain,37.04,4,08/05/2024,280.05,176.32,8.29
Beauty,Nail Polish,160.37,14,19/03/2023,Australia,Hutchinsonfurt,Iowa,Eritrea,46.17,3,19/03/2023,2245.18,1208.58,-138.53
Books,Biography,113.19,11,25/02/2024,North America,West Janice,Illinois,Congo,30.49,3,25/02/2024,1245.09,865.46,118.41
Beauty,Face Cream,288.99,10,27/02/2024,Europe,Leebury,Montana,Slovenia,21.23,5,01/03/2024,2889.9,2276.37,542.43
Home & Kitchen,Vacuum Cleaner,95.48,6,05/09/2023,Europe,Port Bonniebury,Missouri,Christmas Island,22.1,5,06/09/2023,572.88,446.27,102.55
Beauty,Face Cream,374.35,7,28/01/2024,Europe,North Jennifer,Vermont,Germany,16.83,5,29/01/2024,2620.45,2179.43,607.16
Electronics,Laptop,465.48,12,23/12/2024,Australia,Lisamouth,Alaska,China,47.42,5,23/12/2024,5585.76,2936.99,-414.46
Electronics,Tablet,99.13,14,31/08/2024,Australia,Lake Aaron,New York,Liechtenstein,44.88,4,31/08/2024,1387.82,764.97,-67.73
Beauty,Lipstick,369.87,16,31/10/2023,Asia,Markmouth,Indiana,American Samoa,3.85,1,05/11/2023,5917.92,5690.08,2139.33
Home & Kitchen,Vacuum Cleaner,121.26,16,16/12/2024,Europe,Josephton,Michigan,Kiribati,33.22,5,17/12/2024,1940.16,1295.64,131.54
Home & Kitchen,Cookware Set,124.82,18,10/09/2024,Europe,Kimberlyshire,Connecticut,Mozambique,20.22,2,10/09/2024,2246.76,1792.47,444.41
Electronics,Tablet,136.38,6,05/02/2024,South America,Schneiderside,Delaware,Isle of Man,27.59,2,06/02/2024,818.28,592.52,101.55
Home & Kitchen,Cookware Set,118.46,14,24/05/2024,Australia,North Karen,North Dakota,Benin,32.28,5,24/05/2024,1658.44,1123.1,128.03
Books,Cookbook,418.3,12,20/01/2024,Europe,Rogersville,Wisconsin,Pakistan,47.14,1,21/01/2024,5019.6,2653.36,-358.4
Apparel,Shoes,418.99,19,06/01/2023,Europe,North Lindseyton,Mississippi,Saudi Arabia,44.56,2,07/01/2023,7960.81,4413.47,-363.01
Books,Self-Help Guide,181.23,13,11/07/2024,North America,New Lorichester,Arizona,Italy,4.94,4,12/07/2024,2355.99,2239.6,826.01
Electronics,Smartphone,390.57,1,04/10/2024,Asia,East Jerry,Oregon,Bangladesh,39.39,5,04/10/2024,390.57,236.72,2.38
Home & Kitchen,Cookware Set,64.34,18,07/10/2024,Asia,Gonzalezmouth,Connecticut,Nigeria,14.99,3,08/10/2024,1158.12,984.52,289.65
Beauty,Shampoo,43.85,20,19/02/2024,Europe,Bethanymouth,Nebraska,Spain,13.67,1,19/02/2024,877,757.11,230.91
Apparel,Jacket,478.11,7,17/05/2023,Europe,Haleberg,Mississippi,Switzerland,23.98,2,18/05/2023,3346.77,2544.21,536.15
Beauty,Nail Polish,248.87,3,11/09/2024,North America,Nguyenbury,Wisconsin,Fiji,34.95,4,11/09/2024,746.61,485.67,37.7
Electronics,Smartwatch,8.28,19,27/06/2023,Australia,Martinburgh,Connecticut,Algeria,2.93,3,27/06/2023,157.32,152.71,58.32
Home & Kitchen,Cookware Set,429.26,20,06/10/2024,Europe,South Lindsey,California,Faroe Islands,29.54,1,11/10/2024,8585.2,6049.13,898.01
Beauty,Lipstick,479.21,5,18/12/2024,Australia,North Marcoton,Iowa,South Africa,40.86,1,19/12/2024,2396.05,1417.02,-20.61
Beauty,Lipstick,424.77,11,20/02/2024,Asia,New Victoriamouth,Maine,Cook Islands,10.17,4,20/02/2024,4672.47,4197.28,1393.8
Apparel,Jacket,188.74,11,11/07/2024,Asia,Lake Katherine,Texas,Saint Pierre and Miquelon,24.34,1,12/07/2024,2076.14,1570.81,325.12
Apparel,Sweater,161.13,1,09/01/2023,South America,Kristenstad,Rhode Island,United States of America,22.49,2,09/01/2023,161.13,124.89,28.21
Home & Kitchen,Coffee Maker,449.57,5,21/10/2023,Australia,Justinside,Missouri,Colombia,1.29,2,24/10/2023,2247.85,2218.85,870.14
Apparel,Sweater,441.09,15,30/11/2024,Europe,North Shawn,Montana,Bangladesh,49.81,4,02/12/2024,6616.35,3320.75,-649.06
Beauty,Nail Polish,289.39,5,13/05/2023,Europe,Jeffreyfort,Maine,Congo,29.57,4,17/05/2023,1446.95,1019.09,150.92
Beauty,Face Cream,140.99,16,08/04/2024,North America,Lauraview,Kansas,Portugal,35.95,3,08/04/2024,2255.84,1444.87,91.36
Electronics,Smartphone,95.52,11,08/04/2023,South America,Tamaraport,Michigan,Montserrat,6.27,2,10/04/2023,1050.72,984.84,354.41
Beauty,Shampoo,383.31,4,04/04/2023,Europe,Hicksberg,Maryland,Burundi,20.25,1,07/04/2023,1533.24,1222.76,302.81
Home & Kitchen,Cookware Set,258.01,14,30/12/2023,Europe,Kevinmouth,Colorado,Ukraine,33.22,5,03/01/2024,3612.14,2412.19,244.9
Books,Fiction Novel,201.95,9,09/02/2024,Asia,West Annaberg,North Carolina,Montenegro,49.85,1,09/02/2024,1817.55,911.5,-179.03
Electronics,Laptop,376.33,17,20/11/2023,Asia,Carterchester,Indiana,Cuba,48.55,3,22/11/2023,6397.61,3291.57,-547
Electronics,Smartwatch,68.48,1,02/06/2024,Asia,Scottbury,New Jersey,Poland,38.53,4,03/06/2024,68.48,42.09,1.01
Home & Kitchen,Vacuum Cleaner,265.24,15,07/10/2023,Australia,Crystaltown,Hawaii,Somalia,1.43,4,11/10/2023,3978.6,3921.71,1534.55
Home & Kitchen,Vacuum Cleaner,214.47,5,03/06/2023,North America,Millerton,Missouri,Canada,7.58,2,06/06/2023,1072.35,991.07,347.66
Apparel,Jacket,470.13,15,11/02/2023,Asia,East Kellyborough,Wyoming,Bahamas,48.09,1,16/02/2023,7051.95,3660.67,-570.5
Electronics,Headphones,21.12,19,14/05/2023,South America,Debbieton,Virginia,Saint Kitts and Nevis,31.72,1,16/05/2023,401.28,273.99,33.23
Apparel,Shoes,176.91,4,06/02/2024,South America,Phillipsfort,Alaska,Armenia,48.46,1,06/02/2024,707.64,364.72,-59.87
Beauty,Shampoo,430.9,2,18/02/2023,Australia,Port Kristin,Washington,Denmark,37.46,1,18/02/2023,861.8,538.97,21.89
Electronics,Laptop,389.07,7,12/10/2023,South America,Pamelamouth,Rhode Island,United Arab Emirates,28.76,5,18/10/2023,2723.49,1940.21,306.12
Electronics,Smartwatch,231.31,7,12/08/2024,South America,East Manuel,New Hampshire,New Zealand,32.29,5,12/08/2024,1619.17,1096.34,124.84
Books,Self-Help Guide,64.58,14,15/12/2024,South America,West Andrewburgh,New Hampshire,Namibia,19.22,4,15/12/2024,904.12,730.35,187.88
Electronics,Laptop,261.51,18,25/08/2023,Asia,Michaelton,New York,Heard Island and McDonald Islands,40.96,3,26/08/2023,4707.18,2779.12,-45.19
Beauty,Lipstick,161.25,6,19/11/2024,North America,East Davidview,Georgia,Netherlands,5.83,3,22/11/2024,967.5,911.09,330.59
Apparel,T-Shirt,9.17,20,17/03/2024,Asia,Matthewhaven,Pennsylvania,Iraq,44.53,4,18/03/2024,183.4,101.73,-8.31
Apparel,Jacket,338.68,13,03/02/2024,Australia,Cooperchester,Nevada,Afghanistan,20.78,1,09/02/2024,4402.84,3487.93,846.23
Books,Cookbook,192.82,7,13/10/2024,North America,East Jamesshire,Texas,Brazil,22.62,2,15/10/2024,1349.74,1044.43,234.58
Beauty,Face Cream,54.87,12,11/08/2023,Europe,Jeffreyshire,North Carolina,Lao People's Democratic Republic,6.16,3,11/08/2023,658.44,617.88,222.82
Apparel,Jacket,183.99,7,16/06/2024,North America,Smithberg,New Mexico,Mauritania,37.31,2,16/06/2024,1287.93,807.4,34.65
Home & Kitchen,Vacuum Cleaner,431.61,7,24/06/2024,Asia,North Emily,Rhode Island,Bulgaria,49.5,4,24/06/2024,3021.27,1525.74,-287.02
Beauty,Shampoo,97.64,19,05/03/2023,South America,Robertfort,Virginia,United Arab Emirates,20.69,1,05/03/2023,1855.16,1471.33,358.23
Beauty,Perfume,135.11,1,17/03/2023,Australia,Lake Angela,New Jersey,Central African Republic,47.63,4,17/03/2023,135.11,70.76,-10.31
Books,Biography,138.36,12,19/05/2024,South America,Jasontown,Idaho,Cyprus,0.07,3,19/05/2024,1660.32,1659.16,662.97
Apparel,Jacket,479.47,12,25/07/2023,Asia,Wilsonshire,Oklahoma,Cocos (Keeling) Islands,49.87,1,27/07/2023,5753.64,2884.3,-567.88
Beauty,Perfume,174.83,1,16/01/2023,North America,East Michaelstad,Florida,Equatorial Guinea,37.33,1,16/01/2023,174.83,109.57,4.67
Apparel,T-Shirt,96.04,10,13/10/2023,South America,Beardland,Massachusetts,Saint Kitts and Nevis,45.76,3,19/10/2023,960.4,520.92,-55.32
Home & Kitchen,Blender,214.85,10,25/10/2023,Asia,New Josephmouth,Virginia,Saint Pierre and Miquelon,13.89,4,25/10/2023,2148.5,1850.07,560.97
Books,Biography,212.45,17,14/10/2024,Europe,Taylorville,Connecticut,Croatia,40.57,3,15/10/2024,3611.65,2146.4,-20.59
Home & Kitchen,Microwave,377.34,4,07/10/2023,Australia,Patrickfort,Oklahoma,Liechtenstein,46.09,5,07/10/2023,1509.36,813.7,-91.92
Books,Fiction Novel,185.71,16,04/04/2023,Australia,New Beverly,Texas,Slovakia (Slovak Republic),6.72,4,05/04/2023,2971.36,2771.68,988.87
Beauty,Nail Polish,203.29,15,26/02/2024,Asia,Carterstad,Rhode Island,Macao,42.45,4,28/02/2024,3049.35,1754.9,-74.71
Books,Cookbook,228.11,14,16/07/2023,South America,Pierceburgh,Massachusetts,Chile,6.4,5,18/07/2023,3193.54,2989.15,1073.03
